0x79F8E492 module_stop
0x913482A9 module_exit
0x935CD196 module_start
0xd269f915 ksceKernelGetModuleInfo
0x97cf7b4e ksceKernelGetModuleList
0x7bb4ce54 ksceKernelStopModuleForPid
0xfa21d8cb ksceKernelLoadModuleForPid
0x5972e2cc ksceKernelUnloadModuleForPid
0x6df745d5 ksceKernelStartModuleForPid
0x1360661 ksceKernelMountBootfs
0xfe303863 ksceKernelGetModuleInternal
0x9c838a6b ksceKernelUmountBootfs
0x100daeb9 ksceKernelStopModule
0x728e72a6 ksceKernelUnloadModule
0x49a3edc7 ksceKernelStopUnloadModuleForPid
0x9d953c22 ksceKernelLoadStartModuleForPid
0x3b30b7e ksceKernelStopUnloadModule
0x5182e212 ksceKernelGetSystemSwVersion
0x189bfbbb ksceKernelLoadStartModule
0x675b682 ksceKernelStartModule
0xe2adef8d ksceKernelLoadStartSharedModuleForPid
0x86d8d634 ksceKernelLoadModule
0xbbe1771c ksceKernelSearchModuleByName
0x36585daf sceKernelGetModuleInfo
0xf5798c7c sceKernelGetModuleIdByAddr
0x4397fc4e sceKernelGetAllowedSdkVersionOnSystem
0x85e6d2bb sceKernelIsCalledFromSysModule
0xeaeb1312 sceKernelGetLibraryInfoByNID
0x5182e212 sceKernelGetSystemSwVersion
0x2ef2581f sceKernelGetModuleList
0x14fc18af sceNpAuthDestroyRequest
0x6093b689 sceNpAuthTerm
0xe9a003de sceNpGetPlatformType
0xc1e23e01 sceNpAuthGetTicketParam
0x8327c26f sceNpCmpOnlineId
0xc8e51cca sceNpAuthGetEntitlementByIdPrefix
0x59608d1c sceNpAuthGetTicket
0xe807d0bc sceNpSetPlatformType
0xe2582575 sceNpAuthAbortRequest
0x6bc8150a sceNpCmpNpIdInOrder
0xf93842f0 sceNpAuthGetEntitlementById
0x3377cd37 sceNpAuthGetEntitlementIdList
0xfb8d82e5 sceNpCmpNpId
0x441d8b4e sceNpAuthInit
0xed42079f sceNpAuthCreateStartRequest
0x62090481 ksceIoLseek
0x40b933c7 ksceIoClearErrorEvent
0x41209cf ksceIoSyncByFdAsync
0xa1bd13d0 ksceIoWriteAsync
0x462f059b ksceIoGetstatByFd
0x75192972 ksceIoOpen
0x20574100 ksceIoUmount
0x1cc9c634 ksceIoRmdir
0xdf57a75f ksceIoChstatByFd
0x7f710b25 ksceIoMkdir
0xabe65071 ksceIoSetProcessDefaultPriorityForSystem
0xd7bb3e1 ksceIoRemove
0xce397158 ksceIoGetProcessDefaultPriorityForSystem
0x3c0343db ksceIoCreateErrorEvent
0x7d42b8dc ksceIoChstat
0x20cf5fc7 ksceIoDread
0x16882fc4 ksceIoDevctl
0x69047c81 ksceIoReadAsync
0x19c81dd6 ksceIoDclose
0xdc0c4997 ksceIoRename
0x16336a0d ksceIoFlock
0x75c96d25 ksceIoGetstat
0x21ee91f0 ksceIoWrite
0xddf78594 ksceIoSync
0x338dcd68 ksceIoSyncByFd
0x2dfa192f ksceIoCreateMountEvent
0x43db0ae4 ksceIoDeleteMountEvent
0x463b25cc ksceIoDopen
0xc6158f8d ksceIoDeleteErrorEvent
0xd070bc48 ksceIoMount
0xe17efc03 ksceIoRead
0xf99dd8a3 ksceIoClose
0xa176cd03 sceIoGetThreadDefaultPriority
0x34efd876 sceIoWrite
0x49252b9b sceIoLseek32
0x7f2abbaf sceIoSetProcessDefaultPriority
0xcef48835 sceIoCancel
0x16512f59 sceIoSyncByFd
0x3e98e422 sceIoFlockForSystem
0x422a221a sceIoDclose
0xd1c49d2f sceIoComplete
0x8ea3616a sceIoCloseAsync
0x773ebd45 sceIoReadAsync
0x27373135 sceIoSetPriorityForSystem
0x7e1367cb sceIoSyncByFdAsync
0xdc4f1bb sceIoGetProcessDefaultPriority
0x49312108 sceIoSetThreadDefaultPriority
0xf2a472a1 sceIoGetPriority
0xe0d63d2a sceIoWriteAsync
0xfdb32293 sceIoRead
0xc70b8886 sceIoClose
0xb9c9c9cf sceIoSetThreadDefaultPriorityForSystem
0x14b2d56c sceIoSetPriority
0x2d613549 sceVoiceQoSReadPacket
0x4b5fff1c sceVoiceQoSInit
0xc9dc1425 sceVoiceQoSGetStatus
0xc981ab3b sceVoiceQoSGetLocalEndpointAttribute
0x540ceba5 sceVoiceQoSSetLocalEndpointAttribute
0xe5b4527d sceVoiceQoSGetLocalEndpoint
0x68fabf6f sceVoiceQoSDeleteLocalEndpoint
0xe0c5ceee sceVoiceQoSConnect
0x2fe1f28f sceVoiceQoSWritePacket
0x876a9b9c sceVoiceQoSGetRemoteEndpoint
0xe81b8d44 sceVoiceQoSGetConnectionAttribute
0x3c7a08b0 sceVoiceQoSDisconnect
0xe757806f sceVoiceQoSSetConnectionAttribute
0xaab54be4 sceVoiceQoSCreateLocalEndpoint
0xbab98727 sceVoiceQoSCreateRemoteEndpoint
0xfb0b747b sceVoiceQoSEnd
0xc2f2c771 sceVoiceQoSDeleteRemoteEndpoint
0xf524ad2b sceNpPartyTerm
0x324c76f0 sceNpPartyRegisterHandler
0xfb200a6d sceNpPartyGetMemberVoiceInfo
0xb6132502 sceNpPartyCheckCallback
0x560d9a1 sceNpPartyGetMemberInfo
0x420c30e9 sceNpPartyGetMembers
0xb304962c sceNpPartyInit
0x9f99adf7 sceNpPartyGetState
0xcc94b294 ksceKernelTriggerSubIntr
0x96576c18 ksceKernelRegisterSubIntrHandler
0x6ec07c56 ksceKernelGetIntrMasked
0x901e41d8 ksceKernelEnableSubIntr
0x7117e827 ksceKernelSetIntrMasked
0x259c6d9e ksceKernelDisableSubIntr
0x182ee3e3 ksceKernelIsIntrAllowedInCurrentContext
0x5c1feb29 ksceKernelRegisterIntrHandler
0x973baccc ksceKernelSetIntrTarget
0x4dc48a01 ksceKernelClearIntrPending
0x71020e29 ksceKernelSetIntrPriority
0x180435ec ksceKernelMaskIntr
0x29f62500 ksceKernelTriggerSGI
0x7117e827 ksceKernelUnmaskIntr
0xa269003d ksceKernelIsIntrPending
0xd6009b98 ksceKernelReleaseIntrHandler
0x6ad28166 sceUsbdRegisterLdd
0xae671f22 sceUsbdGetDescriptor
0x716048c1 sceUsbdTransferData
0x5736a150 sceUsbdEnd
0xa0a2c826 sceUsbdGetIsochTransferStatus
0xaa3af5d5 sceUsbdClosePipe
0x2a7c0263 sceUsbdRegisterCompositeLdd
0xf94521a6 sceUsbdOpenPipe
0xca8f2f59 sceUsbdAttachCompositeLdd
0x473692cc sceUsbdUnregisterLdd
0x585ea80 sceUsbdUnregisterCallback
0x9a820167 sceUsbdRegisterCallback
0x594d82fd sceUsbdIsochTransferData
0x77d58b31 sceUsbdInit
0x4a26ddcc sceUsbdOpenDefaultPipe
0xeaceae86 sceUsbdAttach
0xb357ac81 sceUsbdGetDescriptorSize
0xcdf5b6e0 sceUsbdGetTransferStatus
0x2de0239e sceUsbdGetDeviceList
0xdeb3be59 sceUsbdResetDevice
0x6c5aacd0 sceUsbdGetDeviceSpeed
0x16fee05d sceUsbdReceiveEvent
0xc54f9d11 sceUsbdGetDeviceAddress
0x216f108d ksceUsbdUnregisterDriver
0x1ec94f18 ksceUsbdRegisterDriver
0x6e53d7f4 ksceUsbdRegisterCompositeLdd
0x1cdbff9f ksceUsbdOpenEndpoint
0xd7aa730d ksceUsbdSuspendPhase2
0xbc3ef82b ksceUsbdGetDescriptor
0x2e05660f ksceUsbdControlTransfer
0xa0bf85b8 ksceUsbdInterruptTransfer
0xf304dc5c ksceUsbdCloseEndpoint
0x31733bf3 sceNpScoreWaitAsync
0x320c0277 sceNpScoreRecordScore
0x871f28aa sceNpScoreGetRankingByNpIdPcId
0xa0c94d46 sceNpScoreCensorComment
0x45cd1d00 sceNpScoreGetRankingByNpIdAsync
0xdfad64d3 sceNpScoreGetGameData
0x2050f98f sceNpScoreTerm
0xc2862b67 sceNpScoreRecordGameData
0x24b09634 sceNpScoreRecordScoreAsync
0x7c68d91b sceNpScoreChangeModeForOtherSaveDataOwners
0xc45e3fcd sceNpScoreGetRankingByRangeAsync
0xaa0bbf8e sceNpScoreCensorCommentAsync
0x15981858 sceNpScoreSanitizeCommentAsync
0x5ef44841 sceNpScoreSetTimeout
0x6fd2041a sceNpScoreSanitizeComment
0x9f2a7ac9 sceNpScorePollAsync
0x433069f sceNpScoreInit
0xd30d1993 sceNpScoreCreateRequest
0xbae55b34 sceNpScoreGetRankingByNpId
0xce3a9544 sceNpScoreGetRankingByNpIdPcIdAsync
0x5685f225 sceNpScoreCreateTitleCtx
0x53d77883 sceNpScoreSetPlayerCharacterId
0xfff24bb1 sceNpScoreDeleteRequest
0xf52ea88a sceNpScoreDeleteTitleCtx
0x40573917 sceNpScoreRecordGameDataAsync
0xce416993 sceNpScoreGetGameDataAsync
0x427d3412 sceNpScoreGetRankingByRange
0xf90e7b sceNpScoreGetBoardInfo
0xa7e93ce1 sceNpScoreAbortRequest
0x3cd9974e sceNpScoreGetBoardInfoAsync
0x5795e898 sceDisplayWaitVblankStart
0x98436a80 sceDisplayUnregisterVblankStartCallback
0x3e796ef5 sceDisplayWaitSetFrameBufMultiCB
0x6bdf4c4d sceDisplayRegisterVblankStartCallback
0x5f27764 sceDisplayWaitVblankStartMultiCB
0x78b41b92 sceDisplayWaitVblankStartCB
0x7d9864a8 sceDisplayWaitSetFrameBufMulti
0x9423560c sceDisplayWaitSetFrameBuf
0xa08ca60d sceDisplayGetRefreshRate
0xdd0a13b8 sceDisplayWaitVblankStartMulti
0x814c90af sceDisplayWaitSetFrameBufCB
0xb6fde0ba sceDisplayGetVcount
0xee5eb52d ksceDisplaySetViewportConf
0x46f186c3 ksceDisplayWaitVblankStartMultiCB
0x16466675 ksceDisplaySetFrameBufInternal
0x19140acd ksceDisplaySetInvertColors
0x19f94c63 ksceDisplayGetFrameBufInternal
0xb3c6d647 ksceDisplayGetResolutionInfoInternal
0x40f1469c ksceDisplayWaitVblankStartMulti
0x7fb0bd28 ksceDisplayRegisterVblankStartCallback
0xb027433e ksceDisplayUnregisterVblankStartCallback
0xeeda2e54 ksceDisplayGetFrameBuf
0x8d79d187 ksceDisplaySetDisplayColorSpaceMode
0x5afe6cd3 ksceDisplayGetFrameBufDimensions
0x40acfe51 ksceDisplayGetActualViewportConf
0x9e3c6dc6 ksceDisplaySetBrightness
0x984c27e7 ksceDisplayWaitVblankStart
0x289d82fe ksceDisplaySetFrameBuf
0x6e22990e ksceDisplayRegisterFrameBufCallback
0x7a410b64 sceDisplaySetFrameBuf
0x42ae6bbc sceDisplayGetFrameBuf
0x5110e17e sceNpLookupCreateTitleCtx
0x36da662e sceNpWordFilterAbortRequest
0x7d140f70 sceNpWordFilterTerm
0x9246a673 sceNpLookupInit
0x27587c4 sceNpLookupAbortRequest
0x8b608bf6 sceNpLookupDeleteRequest
0xbae4cd1f sceNpWordFilterPollAsync
0xcf956f23 sceNpLookupWaitAsync
0xfcdba234 sceNpLookupPollAsync
0xb4e5a189 sceNpWordFilterDeleteTitleCtx
0xe956080f sceNpWordFilterCensorCommentAsync
0x282bd43c sceNpLookupAvatarImageAsync
0xa30e4e17 sceNpWordFilterCensorComment
0x9f44ce45 sceNpWordFilterSetTimeout
0xb1a14879 sceNpLookupNpId
0x5387babb sceNpLookupNpIdAsync
0x6690d8e2 sceNpWordFilterDeleteRequest
0x30606c85 sceNpWordFilterSanitizeComment
0x7183047c sceNpWordFilterCreateRequest
0xe0ebfbf6 sceNpBandwidthTestGetStatus
0x33b64699 sceNpLookupDeleteTitleCtx
0x9e42e922 sceNpLookupCreateRequest
0x81fa13c sceNpBandwidthTestInitStart
0x1075589c sceNpWordFilterCreateTitleCtx
0x32b068c4 sceNpBandwidthTestAbort
0x58d92efd sceNpBandwidthTestShutdown
0xb0c9dc45 sceNpLookupSetTimeout
0x1284c6e sceNpWordFilterInit
0x31b308aa sceNpWordFilterWaitAsync
0xe5285e0f sceNpLookupUserProfileAsync
0x40ec7271 sceNpWordFilterSanitizeCommentAsync
0xfdb0ae47 sceNpLookupAvatarImage
0x158b61b sceNpLookupTerm
0x6a1bf429 sceNpLookupUserProfile
0x9a5370c4 sceAudioOutGetRestSample
0x12fb1767 sceAudioOutGetAdopt
0x69e2e6b5 sceAudioOutReleasePort
0x940ce469 sceAudioOutSetAlcMode
0x9c8edaea sceAudioOutGetConfig
0x64167f11 sceAudioOutSetVolume
0x2db3f5f sceAudioOutOutput
0xb8ba0d07 sceAudioOutSetConfig
0x5bc341e4 sceAudioOutOpenPort
0x7240375b _sceAppMgrReceiveSystemEvent
0x77a51e82 _sceAppMgrPspSaveDataGetParams
0xdc2f23e0 _sceAppMgrLoadExec
0xa579a39e _sceAppMgrSaveDataDataRemove
0xe3f719a0 sceAppMgrQuitForNonSuspendableApp
0x94a722bc sceAppMgrGetExtraAppParam
0xed37d810 _sceAppMgrInstallDirMount
0xaa5b3a37 _sceAppMgrDrmOpen
0x2bb68701 sceAppMgrReleaseSoundOutExclusive2
0xaec49533 sceAppMgrGetSystemDataFile
0xdc7f8de5 _sceAppMgrAppParamGetInt
0xaf8258d4 _sceAppMgrSaveDataSlotGetStatus
0x30c0ca4 _sceAppMgrSaveDataSlotSetStatus
0xd14d39f5 _sceAppMgrSetRecommendedScreenOrientationForShell
0x54368a0b sceAppMgrDestroyAppByAppId
0xe216486 _sceAppMgrSaveDataSlotSetParam
0x29650ee6 _sceAppMgrLaunchVideoStreamingApp
0xc9854e6e _sceAppMgrContentInstallPeriodStop
0x78f5af66 _sceAppMgrSetSystemDataFile
0x44ec36fa sceAppMgrAcquireBgmPortForMusicPlayer
0x55c60d20 _sceAppMgrGetAppMgrState
0xe98e9c52 _sceAppMgrPhotoMount
0xa90546f4 _sceAppMgrReceiveEvent
0x56ede09a sceAppMgrSaveDataGetCachedRequiredSizeKiB
0x81569a58 _sceAppMgrGetCurrentBgmState
0x46998afc _sceAppMgrGetStatusByName
0x581db1be _sceAppMgrAddContAddMount
0xa419bc8 _sceAppMgrUmountByPid
0x7c44fe5d _sceAppMgrGetSystemDataFilePlayReady
0xe4ce4a0c _sceAppMgrDrmClose
0x3fa4036 _sceAppMgrInitSafeMemoryById
0x5369bc0a sceAppMgrLaunchAppCancel
0xf6b093bc _sceAppMgrSetBgmProxyApp
0xf46c81f3 sceAppMgrSetFakeSettingBug51800
0xdc815429 _sceAppMgrGetSaveDataInfoForSpecialExport
0xfff8f7f0 sceAppMgrIsGameProgram
0xe0dadf51 _sceAppMgrReceiveShellEvent
0x7d210054 _sceAppMgrGetRawPathOfApp0ByAppIdForShell
0xc698385c _sceAppMgrCaptureFrameBufDMACByAppId
0x3ba41199 sceAppMgrReleaseSoundOutExclusive
0xd1391ace _sceAppMgrSaveDataAddMount
0xe535161f _sceAppMgrPspSaveDataRead
0x371f6f81 sceAppMgrIsOtherAppPresent
0x19b76d11 _sceAppMgrConvertVs0UserDrivePath
0x29ac9df0 _sceAppMgrGetPidListForShell
0xf28a426b _sceAppMgrSaveDataGetQuota
0x2163759a sceAppMgrSetSystemImposeState2
0x855cdaa4 _sceAppMgrSaveDataSlotFileOpen
0xf8b80ac2 _sceAppMgrTrophyMount
0xf42e27ad _sceAppMgrSendNotificationRequest
0xfde9a3e3 _sceAppMgrOverwriteLaunchParamForShell
0xacdce4db sceAppMgrReleaseBtrm
0xef34ca42 _sceAppMgrAppParamGetString
0xf07b816e _sceAppMgrAppDataMount
0xf3717e37 sceAppMgrReleaseBgmPort
0x7f0c9410 _sceAppMgrIsCameraActive
0xacb48075 sceAppMgrAcquireSoundOutExclusive
0x454eb183 _sceAppMgrGameDataMount
0x332c9d98 sceAppMgrGetAppIdByAppId
0x8964e793 _sceAppMgrSetSystemDataFilePlayReady
0xf29e0732 _sceAppMgrCaptureFrameBufIFTUByAppId
0x43631508 sceAppMgrActivateApp
0x8fe4f651 _sceAppMgrLaunchAppByPath4
0x95a6b1bf _sceAppMgrSaveDataMount
0xeefbc756 _sceAppMgrGetBootParam
0x21a86141 _sceAppMgrReceiveNotificationRequestForShell
0xf4703412 _sceAppMgrUpdateSaveDataParam
0x3dfc9410 _sceAppMgrTrophyMountById
0x58e4cc90 _sceAppMgrWorkDirMountById
0xdd747fb sceAppMgrQuitApp
0xdac0af12 _sceAppMgrLaunchAppByName
0xac9968b7 _sceAppMgrGetFgAppInfo
0xe134f5a0 sceAppMgrIsGameBudgetAppPresent
0xc7566c46 _sceAppMgrGetMediaTypeFromDriveByPid
0x18eb1dac _sceAppMgrSystemParamGetInt
0xfb67babd sceAppMgrReceiveShellEventNum
0x667cc149 _sceAppMgrSaveDataSlotFileGetParam
0x1a844716 _sceAppMgrGetMountProcessNum
0xe455922d sceAppMgrRestoreDisplaySettingForShell
0xfaf3daaa sceAppMgrLoadSafeMemory
0x74d789e2 _sceAppMgrSaveDataSlotGetParam
0x258c3e3c _sceAppMgrGetAppParam
0x5f22e192 sceAppMgrIsNonGameProgram
0x3dd7e65 _sceAppMgrGetCoredumpStateForShell
0x15d7ca34 _sceAppMgrCheckRifGD
0xc361c084 _sceAppMgrGetVs0UserDataDrive
0x3493cdfa _sceAppMgrLoopBackMount
0xaf8c7ffb sceAppMgrSetAppProtectionModeOnMemoryShortage
0xbdf15bdc _sceAppMgrDeclareShellProcess2
0x3ef143bf sceAppMgrDestroyOtherApp
0xcf1c0c0c _sceAppMgrAppMount
0xad9022a1 sceAppMgrSetInfobarState
0xda66ae0e _sceAppMgrGetRunningAppIdListForShell
0xb81777b7 _sceAppMgrSaveDataDataSave
0x5957390f _sceAppMgrAppParamSetString
0xb2ea376f _sceAppMgrPhotoUmount
0x6e65d746 _sceAppMgrGetAppInfo
0xceaf12b6 _sceAppMgrSendSystemEvent
0x6cbcbe1a _sceAppMgrAcidDirSet
0x4c3b5bb8 _sceAppMgrLaunchAppByNameForShell
0x5075ae28 _sceAppMgrBgdlGetQueueStatus
0x13ed8ffd _sceAppMgrAcquireSoundOutExclusive3
0xc311cc17 _sceAppMgrGetIdByName
0xdedd2aed _sceAppMgrLaunchAppByName2ndStage
0xaaed7419 sceAppMgrAcquireBgmPortWithPriority
0xd9bcc50c sceAppMgrRestoreBgmSettingForShell
0xf7dfe96e sceAppMgrSetInfobarStateForShellByAppId
0x667e10a _sceAppMgrAddContMount
0xbf4213a3 _sceAppMgrGetStatusByAppId
0x3eeec172 _sceAppMgrReceiveEventNum
0xd4b0cdb4 _sceAppMgrSetNetworkDisconnectionWarningDialogState
0x3e4ac082 sceAppMgrSendLiveBoardMode
0x84b138bf _sceAppMgrGetUserDirPath
0xdc70c5f7 sceAppMgrDestroyOtherAppByAppIdForShell
0x64dd4321 sceAppMgrResumeBgAppByShell
0xc648ea9b sceAppMgrIsPidShellAndCrashed
0x9275414a _sceAppMgrAppDataMountById
0x626c339d sceAppMgrReleaseSoundOutExclusive3
